"year","state","state_po","state_fips","state_cen","state_ic","office","district","stage","special","candidate","party","writein","mode","candidatevotes","totalvotes","unofficial","version"
1992,"California","CA",6,93,71,"US House",49,"gen",FALSE,"Lynn Schenk","democrat",FALSE,"total",127280,248898,FALSE,20171005
1988,"California","CA",6,93,71,"US House",4,"gen",FALSE,"","",TRUE,"total",1306,182490,FALSE,20171005
1976,"California","CA",6,93,71,"US House",24,"gen",FALSE,"David Irving Simmons","republican",FALSE,"total",51478,159774,FALSE,20171005
2010,"California","CA",6,93,71,"US House",51,"gen",FALSE,"Marcus Jay Shapiro","",TRUE,"total",5,143916,FALSE,20171005
2006,"California","CA",6,93,71,"US House",40,"gen",FALSE,"Florice Orea Hoffman","democrat",FALSE,"total",46418,151289,FALSE,20171005
1980,"California","CA",6,93,71,"US House",20,"gen",FALSE,"Matt Miller","democrat",FALSE,"total",43024,253303,FALSE,20171005
2014,"California","CA",6,93,71,"US House",39,"gen",FALSE,"Peter O. Anderson","democrat",FALSE,"total",41906,133225,FALSE,20171005
1986,"California","CA",6,93,71,"US House",15,"gen",FALSE,"Tony Coelho","democrat",FALSE,"total",93600,131775,FALSE,20171005
2012,"California","CA",6,93,71,"US House",48,"gen",FALSE,"Dana Rohrabacher","republican",FALSE,"total",177144,290502,FALSE,20171005
1992,"California","CA",6,93,71,"US House",17,"gen",FALSE,"John D. Wilkes","libertarian",FALSE,"total",4051,210367,FALSE,20171005
1994,"California","CA",6,93,71,"US House",50,"gen",FALSE,"Bob Filner","democrat",FALSE,"total",59214,104451,FALSE,20171005
1976,"California","CA",6,93,71,"US House",34,"gen",FALSE,"Daniel E. Lungren","republican",FALSE,"total",98147,199135,FALSE,20171005
1978,"California","CA",6,93,71,"US House",31,"gen",FALSE,"Don Grimshaw","republican",FALSE,"total",26490,82157,FALSE,20171005
1994,"California","CA",6,93,71,"US House",46,"gen",FALSE,"Michael P. ""Mike"" Farber","democrat",FALSE,"total",33004,88697,FALSE,20171005
1986,"California","CA",6,93,71,"US House",12,"gen",FALSE,"Lance T. Weil","democrat",FALSE,"total",69564,187043,FALSE,20171005
1996,"California","CA",6,93,71,"US House",18,"gen",FALSE,"Page Roth Riskin","natural law",FALSE,"total",1831,165586,FALSE,20171005
2002,"California","CA",6,93,71,"US House",18,"gen",FALSE,"Kevin Cripe","american independent",FALSE,"total",3641,109593,FALSE,20171005
2002,"California","CA",6,93,71,"US House",20,"gen",FALSE,"Varrin Swearingen","libertarian",FALSE,"total",1515,74770,FALSE,20171005
2010,"California","CA",6,93,71,"US House",38,"gen",FALSE,"Robert Vaughn","republican",FALSE,"total",30883,116342,FALSE,20171005
2000,"California","CA",6,93,71,"US House",8,"gen",FALSE,"Erik Bauman","libertarian",FALSE,"total",5645,215428,FALSE,20171005
2010,"California","CA",6,93,71,"US House",27,"gen",FALSE,"Mark Reed","republican",FALSE,"total",55056,157983,FALSE,20171005
2016,"California","CA",6,93,71,"US House",24,"gen",FALSE,"Justin Donald Fareed","republican",FALSE,"total",144780,310814,FALSE,20171005
2004,"California","CA",6,93,71,"US House",12,"gen",FALSE,"Mike Garza","republican",FALSE,"total",52593,252599,FALSE,20171005
1988,"California","CA",6,93,71,"US House",36,"gen",FALSE,"George E. Brown, Jr.","democrat",FALSE,"total",103493,191648,FALSE,20171005
1996,"California","CA",6,93,71,"US House",6,"gen",FALSE,"Duane C. Hughes","republican",FALSE,"total",86278,253836,FALSE,20171005
1996,"California","CA",6,93,71,"US House",46,"gen",FALSE,"Loretta Sanchez","democrat",FALSE,"total",47964,102784,FALSE,20171005
2004,"California","CA",6,93,71,"US House",50,"gen",FALSE,"Diane Templin","american independent",FALSE,"total",4723,289328,FALSE,20171005
1998,"California","CA",6,93,71,"US House",14,"gen",FALSE,"Anna Currivan","natural law",FALSE,"total",2362,188910,FALSE,20171005
1996,"California","CA",6,93,71,"US House",13,"gen",FALSE,"James S. Fay","republican",FALSE,"total",53385,175539,FALSE,20171005
1996,"California","CA",6,93,71,"US House",11,"gen",FALSE,"Kelly Rego","libertarian",FALSE,"total",5077,181096,FALSE,20171005
1986,"California","CA",6,93,71,"US House",45,"gen",FALSE,"Duncan Hunter","republican",FALSE,"total",118900,154675,FALSE,20171005
2012,"California","CA",6,93,71,"US House",12,"gen",FALSE,"John Dennis","republican",FALSE,"total",44478,298187,FALSE,20171005
2002,"California","CA",6,93,71,"US House",37,"gen",FALSE,"Herb Peters","libertarian",FALSE,"total",3413,87012,FALSE,20171005
1990,"California","CA",6,93,71,"US House",15,"gen",FALSE,"Gary Condit","democrat",FALSE,"total",97147,146781,FALSE,20171005
2016,"California","CA",6,93,71,"US House",29,"gen",FALSE,"Richard Alarcon","democrat",FALSE,"total",43417,171824,FALSE,20171005
1998,"California","CA",6,93,71,"US House",28,"gen",FALSE,"Janice M. Nelson","democrat",FALSE,"total",61721,157200,FALSE,20171005
1978,"California","CA",6,93,71,"US House",39,"gen",FALSE,"William E. Dannemeyer","republican",FALSE,"total",112160,176051,FALSE,20171005
2006,"California","CA",6,93,71,"US House",34,"gen",FALSE,"","",TRUE,"total",1,74819,FALSE,20171005
1996,"California","CA",6,93,71,"US House",40,"gen",FALSE,"Joseph T. Kelley","libertarian",FALSE,"total",4375,152261,FALSE,20171005
2012,"California","CA",6,93,71,"US House",52,"gen",FALSE,"Scott Peters","democrat",FALSE,"total",151451,295910,FALSE,20171005
1998,"California","CA",6,93,71,"US House",19,"gen",FALSE,"Jonathan Richter","libertarian",FALSE,"total",34044,165149,FALSE,20171005
1994,"California","CA",6,93,71,"US House",47,"gen",FALSE,"Victor A. Wagner, Jr.","libertarian",FALSE,"total",7257,214997,FALSE,20171005
1996,"California","CA",6,93,71,"US House",4,"gen",FALSE,"Patrick Lee McHargue","libertarian",FALSE,"total",9319,271315,FALSE,20171005
2008,"California","CA",6,93,71,"US House",40,"gen",FALSE,"Christina Avalos","democrat",FALSE,"total",86772,231695,FALSE,20171005
1990,"California","CA",6,93,71,"US House",10,"gen",FALSE,"Mark Patrosso","republican",FALSE,"total",48747,130637,FALSE,20171005
1978,"California","CA",6,93,71,"US House",3,"gen",FALSE,"Sandy Smoley","republican",FALSE,"total",91966,197503,FALSE,20171005
1984,"California","CA",6,93,71,"US House",32,"gen",FALSE,"Marc F. Denny","libertarian",FALSE,"total",2517,169705,FALSE,20171005
2016,"California","CA",6,93,71,"US House",21,"gen",FALSE,"David G. Valadao","republican",FALSE,"total",75126,132408,FALSE,20171005
2008,"California","CA",6,93,71,"US House",11,"gen",FALSE,"Dean Andal","republican",FALSE,"total",133104,297616,FALSE,20171005
1996,"California","CA",6,93,71,"US House",13,"gen",FALSE,"Terry C. Savage","libertarian",FALSE,"total",7746,175539,FALSE,20171005
1986,"California","CA",6,93,71,"US House",25,"gen",FALSE,"Edward R. Roybal","democrat",FALSE,"total",62692,82413,FALSE,20171005
2000,"California","CA",6,93,71,"US House",37,"gen",FALSE,"Margaret Glazer","natural law",FALSE,"total",4094,113275,FALSE,20171005
2006,"California","CA",6,93,71,"US House",4,"gen",FALSE,"John T. Doolittle","republican",FALSE,"total",135818,276893,FALSE,20171005
2004,"California","CA",6,93,71,"US House",52,"gen",FALSE,"Duncan Hunter","republican",FALSE,"total",187799,271438,FALSE,20171005
2004,"California","CA",6,93,71,"US House",8,"gen",FALSE,"Jennifer DePalma","republican",FALSE,"total",31074,270064,FALSE,20171005
1992,"California","CA",6,93,71,"US House",35,"gen",FALSE,"Maxine Waters","democrat",FALSE,"total",102941,124776,FALSE,20171005
2004,"California","CA",6,93,71,"US House",8,"gen",FALSE,"Leilani Dowell","peace and freedom",FALSE,"total",9527,270064,FALSE,20171005
1992,"California","CA",6,93,71,"US House",36,"gen",FALSE,"","",TRUE,"total",97159,351397,FALSE,20171005
1990,"California","CA",6,93,71,"US House",2,"gen",FALSE,"Erwin E. ""Bill"" Rush","democrat",FALSE,"total",65333,209401,FALSE,20171005
1996,"California","CA",6,93,71,"US House",29,"gen",FALSE,"Brian Rees","natural law",FALSE,"total",3097,214817,FALSE,20171005
2012,"California","CA",6,93,71,"US House",27,"gen",FALSE,"Judy Chu","democrat",FALSE,"total",154191,241008,FALSE,20171005
2010,"California","CA",6,93,71,"US House",52,"gen",FALSE,"Duncan Hunter","republican",FALSE,"total",139460,221062,FALSE,20171005
2004,"California","CA",6,93,71,"US House",31,"gen",FALSE,"Luis Vega","republican",FALSE,"total",22048,111411,FALSE,20171005
1996,"California","CA",6,93,71,"US House",47,"gen",FALSE,"Iris Adam","natural law",FALSE,"total",6807,243777,FALSE,20171005
1980,"California","CA",6,93,71,"US House",42,"gen",FALSE,"Duncan L. Hunter","republican",FALSE,"total",79713,149649,FALSE,20171005
2012,"California","CA",6,93,71,"US House",30,"gen",FALSE,"Howard L. Berman","democrat",FALSE,"total",98395,247851,FALSE,20171005
1990,"California","CA",6,93,71,"US House",29,"gen",FALSE,"Bill DeWitt","republican",FALSE,"total",12054,64672,FALSE,20171005
1976,"California","CA",6,93,71,"US House",24,"gen",FALSE,"Heny A. Waxman","democrat",FALSE,"total",108296,159774,FALSE,20171005
2004,"California","CA",6,93,71,"US House",44,"gen",FALSE,"Louis Vandenberg","democrat",FALSE,"total",78796,225123,FALSE,20171005
1990,"California","CA",6,93,71,"US House",12,"gen",FALSE,"Robert Palmer","democrat",FALSE,"total",69270,205698,FALSE,20171005
1976,"California","CA",6,93,71,"US House",41,"gen",FALSE,"King Golden, Jr.","democrat",FALSE,"total",94590,223374,FALSE,20171005
2008,"California","CA",6,93,71,"US House",44,"gen",FALSE,"Bill Hedrick","democrat",FALSE,"total",123890,253827,FALSE,20171005
2002,"California","CA",6,93,71,"US House",22,"gen",FALSE,"Jaime A. Corvera","democrat",FALSE,"total",38988,164285,FALSE,20171005
2006,"California","CA",6,93,71,"US House",49,"gen",FALSE,"Lars R. Grossmith","libertarian",FALSE,"total",4952,156137,FALSE,20171005
